airline,avail_seat_km_per_week,incidents_85_99,fatal_accidents_85_99,fatalities_85_99,incidents_00_14,fatal_accidents_00_14,fatalities_00_14,Checked,Link
Aer Lingus,320906734,2,0,0,0,0,0,No,http://akshaysehgal.com/
Aeroflot,1197672318,7,14,128,6,1,88,No,http://akshaysehgal.com/blog/naive_bayes.html
Aerolineas Argentinas,385803648,5,0,0,1,0,0,No,http://akshaysehgal.com/blog/groupby.html
Aeromexico,596871813,3,1,64,5,0,0,No,http://akshaysehgal.com/
Air Canada,1865253802,2,0,0,2,0,0,No,http://akshaysehgal.com/blog/naive_bayes.html
Air France,3004002661,14,4,79,6,2,337,No,http://akshaysehgal.com/blog/groupby.html
Air India,869253552,2,1,329,4,1,158,No,http://akshaysehgal.com/
Air New Zealand,710174817,3,0,0,5,1,7,No,http://akshaysehgal.com/blog/naive_bayes.html
Alaska Airlines,965346773,5,0,0,5,1,88,No,http://akshaysehgal.com/blog/groupby.html
Alitalia,698012498,7,2,50,4,0,0,No,http://akshaysehgal.com/
All Nippon Airways,1841234177,3,1,1,7,0,0,No,http://akshaysehgal.com/blog/naive_bayes.html
American,5228357340,21,5,101,17,3,416,No,http://akshaysehgal.com/blog/groupby.html
Austrian Airlines,358239823,1,0,0,1,0,0,No,http://akshaysehgal.com/
Avianca,396922563,5,3,323,0,0,0,No,http://akshaysehgal.com/blog/naive_bayes.html
British Airways,3179760952,4,0,0,6,0,0,No,http://akshaysehgal.com/blog/groupby.html
Cathay Pacific,2582459303,0,0,0,2,0,0,No,http://akshaysehgal.com/
China Airlines,813216487,12,6,535,2,1,225,No,http://akshaysehgal.com/blog/naive_bayes.html
Condor,417982610,2,1,16,0,0,0,No,http://akshaysehgal.com/blog/groupby.html
COPA,550491507,3,1,47,0,0,0,No,http://akshaysehgal.com/
Delta / Northwest,6525658894,24,12,407,24,2,51,No,http://akshaysehgal.com/blog/naive_bayes.html
Egyptair,557699891,8,3,282,4,1,14,No,http://akshaysehgal.com/blog/groupby.html
El Al,335448023,1,1,4,1,0,0,No,http://akshaysehgal.com/
Ethiopian Airlines,488560643,25,5,167,5,2,92,No,http://akshaysehgal.com/blog/naive_bayes.html
Finnair,506464950,1,0,0,0,0,0,No,http://akshaysehgal.com/blog/groupby.html
Garuda Indonesia,613356665,10,3,260,4,2,22,No,http://akshaysehgal.com/
Gulf Air,301379762,1,0,0,3,1,143,No,http://akshaysehgal.com/blog/naive_bayes.html
Hawaiian Airlines,493877795,0,0,0,1,0,0,No,http://akshaysehgal.com/blog/groupby.html
Iberia,1173203126,4,1,148,5,0,0,No,http://akshaysehgal.com/
Japan Airlines,1574217531,3,1,520,0,0,0,No,http://akshaysehgal.com/blog/naive_bayes.html
Kenya Airways,277414794,2,0,0,2,2,283,No,http://akshaysehgal.com/blog/groupby.html
KLM,1874561773,7,1,3,1,0,0,No,http://akshaysehgal.com/
Korean Air,1734522605,12,5,425,1,0,0,No,http://akshaysehgal.com/blog/naive_bayes.html
LAN Airlines,1001965891,3,2,21,0,0,0,No,http://akshaysehgal.com/blog/groupby.html
Lufthansa,3426529504,6,1,2,3,0,0,No,http://akshaysehgal.com/
Malaysia Airlines,1039171244,3,1,34,3,2,537,No,http://akshaysehgal.com/blog/naive_bayes.html
Pakistan International,348563137,8,3,234,10,2,46,No,http://akshaysehgal.com/blog/groupby.html
Philippine Airlines,413007158,7,4,74,2,1,1,No,http://akshaysehgal.com/
Qantas,1917428984,1,0,0,5,0,0,No,http://akshaysehgal.com/blog/naive_bayes.html
Royal Air Maroc,295705339,5,3,51,3,0,0,No,http://akshaysehgal.com/blog/groupby.html
SAS,682971852,5,0,0,6,1,110,No,http://akshaysehgal.com/
Saudi Arabian,859673901,7,2,313,11,0,0,No,http://akshaysehgal.com/blog/naive_bayes.html
Singapore Airlines,2376857805,2,2,6,2,1,83,No,http://akshaysehgal.com/blog/groupby.html
South African,651502442,2,1,159,1,0,0,No,http://akshaysehgal.com/
Southwest Airlines,3276525770,1,0,0,8,0,0,No,http://akshaysehgal.com/blog/naive_bayes.html
Sri Lankan / AirLanka,325582976,2,1,14,4,0,0,No,http://akshaysehgal.com/blog/groupby.html
SWISS,792601299,2,1,229,3,0,0,No,http://akshaysehgal.com/
TACA,259373346,3,1,3,1,1,3,No,http://akshaysehgal.com/blog/naive_bayes.html
TAM,1509195646,8,3,98,7,2,188,No,http://akshaysehgal.com/blog/groupby.html
TAP - Air Portugal,619130754,0,0,0,0,0,0,No,http://akshaysehgal.com/
Thai Airways,1702802250,8,4,308,2,1,1,No,http://akshaysehgal.com/blog/naive_bayes.html
Turkish Airlines,1946098294,8,3,64,8,2,84,No,http://akshaysehgal.com/blog/groupby.html
United / Continental,7139291291,19,8,319,14,2,109,No,http://akshaysehgal.com/
US Airways / America West,2455687887,16,7,224,11,2,23,No,http://akshaysehgal.com/blog/naive_bayes.html
Vietnam Airlines,625084918,7,3,171,1,0,0,No,http://akshaysehgal.com/blog/groupby.html
Virgin Atlantic,1005248585,1,0,0,0,0,0,No,http://akshaysehgal.com/
Xiamen Airlines,430462962,9,1,82,2,0,0,No,http://akshaysehgal.com/blog/naive_bayes.html
